filename,gibberish_ratio,ocr_token_count
1.png,0.25,8
2.png,0.0,1
3.png,0.0833,12
4.png,,0
5.png,0.0588,17
6.png,0.1667,6
7.png,0.4286,7
8.png,0.0,5
9.png,,0
10.png,0.0,6
11.png,0.0,5
12.png,0.0,7
13.png,0.0,6
14.png,0.0,3
15.png,0.0,1
16.png,0.25,8
17.png,0.0,2
18.png,0.0,5
19.png,0.1667,12
20.png,0.0,3
21.png,0.0,3
22.png,0.0,5
23.png,0.0,5
24.png,0.1429,7
25.png,0.0,5
26.png,0.2353,17
27.png,0.1923,26
28.png,0.4,5
29.png,0.1667,12
30.png,0.0,7
31.png,0.25,8
32.png,0.0,5
33.png,0.0,11
34.png,0.1429,7
35.png,0.0,7
36.png,0.0,14
37.png,0.0,11
38.png,0.5,2
39.png,0.3333,6
40.png,0.0,12
41.png,0.0,1
42.png,0.0,9
43.png,0.0,6
44.png,0.2308,13
45.png,0.0909,11
46.png,0.0,4
47.png,0.0,5
48.png,0.1429,7
49.png,0.0,6
50.png,0.0,8
51.png,0.0,7
52.png,0.0,6
53.png,0.0,10
54.png,0.0,1
55.png,0.0,1
56.png,1.0,2
57.png,0.1667,6
58.png,0.1667,6
59.png,0.0,3
60.png,0.6667,3
61.png,0.1429,7
62.png,0.0,7
63.png,0.0,4
64.png,0.0,1
65.png,0.1111,18
66.png,0.0,3
67.png,0.0,3
68.png,0.1111,9
69.png,0.1111,9
70.png,0.0,14
71.png,0.0,11
72.png,0.0909,11
73.png,0.0,5
74.png,0.0,8
75.png,0.0,1
76.png,0.1667,6
77.png,0.0,4
78.png,0.25,8
79.png,0.0,8
80.png,0.0,8
81.png,0.0,7
82.png,0.25,4
83.png,0.32,25
84.png,0.3333,3
85.png,0.0,1
86.png,,0
87.png,0.1,10
88.png,0.0,5
89.png,0.3333,6
90.png,0.0,8
91.png,0.0,1
92.png,0.0,15
93.png,0.0,13
94.png,0.25,8
95.png,0.0833,12
96.png,0.2857,7
97.png,0.1111,9
98.png,0.0,6
99.png,0.087,23
100.png,0.0769,13
101.png,0.2143,14
102.png,0.0,5
103.png,0.5,10
104.png,0.0,7
105.png,0.3333,9
106.png,0.5,2
107.png,0.0,8
108.png,0.0,8
109.png,0.1538,13
110.png,0.1111,9
111.png,0.122,41
112.png,0.15,40
113.png,0.2222,9
114.png,0.0909,11
115.png,0.0,6
116.png,0.0,8
117.png,0.0,8
118.png,0.0,11
119.png,0.0,1
120.png,0.0,6
121.png,0.25,4
122.png,0.0,8
123.png,0.0,2
124.png,0.0,6
125.png,0.1667,12
126.png,0.5,2
127.png,0.0,8
128.png,0.2857,7
129.png,0.0,1
130.png,0.3333,9
131.png,0.3333,3
132.png,0.0,3
133.png,0.1429,7
134.png,0.0,3
135.png,,0
136.png,0.0,10
137.png,,0
138.png,0.0,2
139.png,0.0,4
140.png,0.0,4
141.png,0.0,1
142.png,,0
143.png,0.0,2
144.png,0.25,4
145.png,0.2,10
146.png,0.0,4
147.png,0.0,7
148.png,0.0,3
149.png,0.0526,19
150.png,0.0526,19
151.png,0.0,8
152.png,0.0,6
153.png,0.0909,11
154.png,0.0,9
155.png,0.0909,11
156.png,0.0833,12
